Unnamed: 0,Unnamed: 1,INKAR 2022 – Indikatorenübersicht:   Raumbeobachtung Deutschland,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
4405,17352,Lebenserwartung Frauen,Mittlere Lebenserwartung eines weiblichen Neugeborenen in Jahren,"Durchschnittliche Lebenserwartung eines weiblichen Neugeborenen in Jahren <Durchschnitt 3 Jahre, Methode nach W. Farr>","Durchschnittliche Anzahl an Jahren, die ein Neugeborenes (in Europa ""unter 1-Jähriges"" und anderes Berechnungsverfahren als Farr) zu leben vor sich hätte, wenn sich die im Berichtszeitraum gemessenen Sterblichkeitsverhältnisse im gesamten Leben dieses Kindes nicht verändern würden. Indikator für regionale Unterschiede der Sterblichkeit und des durchschnittlichen Gesundheitszustands der Bevölkerung. Wird durch die Altersstruktur der Bevölkerung nicht beeinflusst. Der geschlechtsdifferenzierte Indikator deutet an, dass die Ausprägung für die Gruppe der Frauen (deutlich) von der Gesamtsituation abweichen kann. Der Indikator wird als Durchschnitt über die jeweils drei letzten Jahre berechnet. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Statistik der Geburten und Sterbefälle des Bundes und der Länder,,x,,1995-2017
4406,17353,Lebenserwartung Männer,Mittlere Lebenserwartung eines männlichen Neugeborenen in Jahren,"Durchschnittliche Lebenserwartung eines männlichen Neugeborenen in Jahren <Durchschnitt 3 Jahre, Methode nach W. Farr>","Durchschnittliche Anzahl an Jahren, die ein Neugeborenes (in Europa ""unter 1-Jähriges"" und anderes Berechnungsverfahren als Farr) zu leben vor sich hätte, wenn sich die im Berichtszeitraum gemessenen Sterblichkeitsverhältnisse im gesamten Leben dieses Kindes nicht verändern würden. Indikator für regionale Unterschiede der Sterblichkeit und des durchschnittlichen Gesundheitszustands der Bevölkerung. Wird durch die Altersstruktur der Bevölkerung nicht beeinflusst. Der geschlechtsdifferenzierte Indikator deutet an, dass die Ausprägung für die Gruppe der Männer (deutlich) von der Gesamtsituation abweichen kann. Der Indikator wird als Durchschnitt über die jeweils drei letzten Jahre berechnet. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Statistik der Geburten und Sterbefälle des Bundes und der Länder,,x,,1995-2017
4407,17347,Geburten junger Mütter (<20 Jahre),Geborene von Müttern von 15 bis unter 20 Jahren je 1.000 Frauen im Alter von 15 bis unter 20 Jahren,Geborene von Frauen 15 bis < 20 Jahre <Zeitpunkt> / Frauen 15 bis < 20 Jahre <Zeitpunkt> x 1.000,"Minderjährige Mütter stammen oftmals aus problematischen Familienverhältnissen, d.h. die frühe Mutterschaft ist oftmals eine „Flucht“ aus einer unerträglichen Familien- oder Ausbildungssituation, drohender Arbeitslosigkeit oder Aussichtslosigkeit bezüglich des Berufswunsches. Hinweis auf besonderen Unterstützungsbedarf. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.",Statistik der Geburten des Bundes und der Länder,,x,,1995-2020
4408,17348,Geburten älterer Mütter (>=40 Jahre),Geborene von Müttern 40 Jahre und älter je 1.000 Frauen im Alter von 40 bis unter 45 Jahren,Geborene von Frauen >=40 Jahre <Zeitpunkt> / Frauen 40 bis < 45 Jahre <Zeitpunkt> x1.000,"Immer mehr Frauen sind so genannte Spätgebärende. Das Alter, in dem Frauen Kinder bekommen, verschiebt sich seit Jahren kontinuierlich nach oben. Im Schnitt sind die Mütter in Deutschland bei der Geburt eines Kindes 31,5 Jahre alt (Stand 2020). Damit einher geht eine höhere Wahrscheinlichkeit für Risikoschwangerschaften. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.",Statistik der Geburten des Bundes und der Länder,,x,,1995-2020
4409,17350,Restlebenserwartung der 60-jährigen Frauen,Restlebenserwartung der 60-jährigen Frauen in Jahren,"Durchschnittliche Lebenserwartung einer 60-jährigen Frau in Jahren <Durchschnitt 3 Jahre, Methode nach W. Farr>","Die Restlebenserwartung gibt die durchschnittlichen Lebensjahre an, die eine Person unter Berücksichtigung der aktuellen Sterblichkeitsverhältnisse in einem bestimmten Alter zu erwarten hat. Indikator für die qualifizierte Vorsorgeplanung. Der geschlechtsdifferenzierte Indikator deutet an, dass die Ausprägung für die Gruppe der Frauen (deutlich) von der Gesamtsituation abweichen kann. Der Indikator wird als Durchschnitt über die jeweils drei letzten Jahre berechnet. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.",Statistik der Geburten und Sterbefälle des Bundes und der Länder,,x,,1995-2017
4410,15491,Säuglingssterblichkeit (<1 Jahr),Anteil der Gestorbenen unter 1 Jahr je 1.000 Einwohner unter 1 Jahr,Gestorbene < 1 Jahr <Zeitpunkt> / Einwohner < 1 Jahr <Zeitpunkt> x 1.000,"In den meisten Industrieländern lässt sich eine erhöhte Säuglingssterblichkeit bei sozial benachteiligten Gruppen nachweisen, wie z.B. etwa armen Menschen und Menschen mit Migrationshintergrund. Für diese Säuglingssterblichkeit werden ungenügende Gesundheitsvorsorge während der Schwangerschaft, Fehlernährung und unzureichende Inanspruchnahme von präventiven Gesundheitsleistungen vermutet. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Statistik der Sterbefälle des Bundes und der Länder,,x,,2000-2020
4411,17351,Restlebenserwartung der 60-jährigen Männer,Restlebenserwartung der 60-jährigen Männer in Jahren,"Durchschnittliche Lebenserwartung eines 60-jährigen Mannes in Jahren <Durchschnitt 3 Jahre, Methode nach W. Farr>","Die Restlebenserwartung gibt die durchschnittlichen Lebensjahre an, die eine Person unter Berücksichtigung der aktuellen Sterblichkeitsverhältnisse in einem bestimmten Alter zu erwarten hat. Indikator für die qualifizierte Vorsorgeplanung. Der geschlechtsdifferenzierte Indikator deutet an, dass die Ausprägung für die Gruppe der Männer (deutlich) von der Gesamtsituation abweichen kann. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.",Statistik der Geburten und Sterbefälle des Bundes und der Länder,,x,,1995-2017
4412,17354,Lebenserwartung,Mittlere Lebenserwartung eines Neugeborenen in Jahren,"Durchschnittliche Lebenserwartung eines Neugeborenen in Jahren <Durchschnitt 3 Jahre, Methode nach W. Farr>","Durchschnittliche Anzahl an Jahren, die ein Neugeborenes (in Europa ""unter 1-Jähriges"" und anderes Berechnungsverfahren als Farr) zu leben vor sich hätte, wenn sich die im Berichtszeitraum gemessenen Sterblichkeitsverhältnisse im gesamten Leben dieses Kindes nicht verändern würden. Indikator für regionale Unterschiede der Sterblichkeit und des durchschnittlichen Gesundheitszustands der Bevölkerung. Wird durch die Altersstruktur der Bevölkerung nicht beeinflusst. Der Indikator wird als Durchschnitt über die jeweils drei letzten Jahre berechnet. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.  Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Statistik der Geburten und Sterbefälle des Bundes und der Länder,,x,,1995-2020
4413,17349,Restlebenserwartung der 60-Jährigen,Restlebenserwartung der 60-Jährigen in Jahren,"Durchschnittliche Lebenserwartung eines 60-Jährigen in Jahren <Durchschnitt 3 Jahre, Methode nach W. Farr>","Die Restlebenserwartung gibt die durchschnittlichen Lebensjahre an, die eine Person unter Berücksichtigung der aktuellen Sterblichkeitsverhältnisse in einem bestimmten Alter zu erwarten hat. Indikator für die qualifizierte Vorsorgeplanung. Der Indikator wird als Durchschnitt über die jeweils drei letzten Jahre berechnet. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.",Statistik der Geburten und Sterbefälle des Bundes und der Länder,,x,,1995-2020
,,Bundestagswahlen,,,,,,,,
4501,17388,Wahlbeteiligung,Anteil aller Zweitstimmen (gültig und ungültig) an den Wahlberechtigten in %,gültige und ungültige Zweitstimmen Bundestagswahl <Zeitpunkt> / Wahlberechtigte <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel).",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,1998-2021
4502,16935,Stimmenanteile CDU/CSU,Anteil der Zweitstimmen CDU/CSU an den Zweitstimmen in %,gültige Zweitstimmen CDU/CSU <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel).",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,1998-2021
4503,16936,Stimmenanteile SPD,Anteil der Zweitstimmen SPD an den Zweitstimmen in %,gültige Zweitstimmen SPD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel). ",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,1998-2021
4504,16937,Stimmenanteile Grüne,Anteil der Zweitstimmen Grüne an den Zweitstimmen in %,gültige Zweitstimmen Grüne <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel).",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,1998-2021
4505,16938,Stimmenanteile FDP,Anteil der Zweitstimmen FDP an den Zweitstimmen in %,gültige Zweitstimmen FDP <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel).",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,1998-2021
4506,16939,Stimmenanteile Sonstige Parteien,Anteil der Zweitstimmen Sonstige Parteien an den Zweitstimmen in %,gültige Zweitstimmen Sonstige Parteien <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel).",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,1998-2021
4507,16940,Stimmenanteile Die Linke,Anteil der Zweitstimmen Die Linke an den Zweitstimmen in %,gültige Zweitstimmen Die Linke <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel).  Unter der Parteibezeichnung „DIE LINKE“ wurde bis 16.07.2005 die Partei „PDS“ und vom 17.07.2005 bis einschließlich 15.06.2007 die Partei „Die Linke.“ nachgewiesen.",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,1998-2021
4508,16941,Stimmenanteile AfD,Anteil der Zweitstimmen AfD an den Zweitstimmen in %,gültige Zweitstimmen AfD <Zeitpunkt> / gültige Zweitstimmen <Zeitpunkt> x 100,"Das Ergebnis der Zweitstimmen ist für die Sitzverteilung maßgebend. Bei der Sitzverteilung auf die Landeslisten der Parteien werden nur solche berücksichtigt, die mindestens 5% der Zweitstimmen in der Bundesrepublik Deutschland oder in mindestens drei Wahlkreisen einen Sitz erhalten haben (Sperrklausel).",Allgemeine Bundestagswahlstatistik des Bundes und der Länder,,x,,2017-2021
,,Bildung,,,,,,,,
,,Bildung – Ausbildungsangebot,,,,,,,,
5101,17467,Berufsschüler,Schüler an Berufsschulen je 1.000 Einwohner,Berufsschüler <Zeitpunkt> / E <Zeitpunkt> x 1.000,"Berufsschulen haben die Aufgabe, die Allgemeinbildung der Schüler zu vertiefen und die für den Beruf erforderliche fachtheoretische Grundausbildung zu vermitteln. Sie werden in der Regel pflichtgemäß nach Beendigung der neun- bzw. zehnjährigen Vollzeitschulpflicht von Personen besucht, die in der beruflichen Erstausbildung mit/ohne Ausbildungsvertrag oder in einem anderen Arbeitsverhältnis stehen und das 18. Lebensjahr noch nicht vollendet haben. Die Daten beinhalten auch Schulen mit Schülern der Berufssonderschulen, des Berufsvorbereitungsjahres und des Berufsgrundbildungsjahres sowie berufsvorbereitende Bildungsmaßnahmen der Bundesagentur für Arbeit. Wegen der Kulturhoheit der Länder kann es in den Daten zu länderspezifischen Besonderheiten wie bspw. unterschiedlichen Abgrenzungen und Definitionen sowie unterschiedlichen Stichtagen kommen. Weiterhin können sich die aggregierten Kreisergebnisse daher von den veröffentlichten Zahlen für das Bundesgebiet unterscheiden. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.",Statistik der beruflichen Schulen des Bundes und der Länder,,x,,1995-2020
5102,17468,Berufsschülerinnen,Anteil Berufsschülerinnen an den Berufsschülern in %,Berufsschülerinnen <Zeitpunkt> / Berufsschüler <Zeitpunkt> x 100,"Berufsschulen haben die Aufgabe, die Allgemeinbildung der Schüler zu vertiefen und die für den Beruf erforderliche fachtheoretische Grundausbildung zu vermitteln. Sie werden in der Regel pflichtgemäß nach Beendigung der neun- bzw. zehnjährigen Vollzeitschulpflicht von Personen besucht, die in der beruflichen Erstausbildung mit/ohne Ausbildungsvertrag oder in einem anderen Arbeitsverhältnis stehen und das 18. Lebensjahr noch nicht vollendet haben. Die Daten beinhalten auch Schulen mit Schülern der Berufssonderschulen, des Berufsvorbereitungsjahres und des Berufsgrundbildungsjahres sowie berufsvorbereitende Bildungsmaßnahmen der Bundesagentur für Arbeit. Wegen der Kulturhoheit der Länder kann es in den Daten zu länderspezifischen Besonderheiten wie bspw. unterschiedlichen Abgrenzungen und Definitionen sowie unterschiedlichen Stichtagen kommen. Weiterhin können sich die aggregierten Kreisergebnisse daher von den veröffentlichten Zahlen für das Bundesgebiet unterscheiden.",Statistik der beruflichen Schulen des Bundes und der Länder,,x,,1995-2020
5103,17466,Ausländische Berufsschüler,Anteil der ausländischen Berufsschüler an den Berufsschülern in %,Ausländische Berufsschüler <Zeitpunkt> / Berufsschüler <Zeitpunkt> x 100,"Berufsschulen haben die Aufgabe, die Allgemeinbildung der Schüler zu vertiefen und die für den Beruf erforderliche fachtheoretische Grundausbildung zu vermitteln. Sie werden in der Regel pflichtgemäß nach Beendigung der neun- bzw. zehnjährigen Vollzeitschulpflicht von Personen besucht, die in der beruflichen Erstausbildung mit/ohne Ausbildungsvertrag oder in einem anderen Arbeitsverhältnis stehen und das 18. Lebensjahr noch nicht vollendet haben. Die Daten beinhalten auch Schulen mit Schülern der Berufssonderschulen, des Berufsvorbereitungsjahres und des Berufsgrundbildungsjahres sowie berufsvorbereitende Bildungsmaßnahmen der Bundesagentur für Arbeit. Wegen der Kulturhoheit der Länder kann es in den Daten zu länderspezifischen Besonderheiten wie bspw. unterschiedlichen Abgrenzungen und Definitionen sowie unterschiedlichen Stichtagen kommen. Weiterhin können sich die aggregierten Kreisergebnisse daher von den veröffentlichten Zahlen für das Bundesgebiet unterscheiden.",Statistik der beruflichen Schulen des Bundes und der Länder,,x,,1995-2020
5104,16408,Ausbildungsplätze,Gesamtangebot an betrieblichen Ausbildungsplätzen je 100 Nachfrager,Neu abgeschlossene Ausbildungsverträge und unbesetzte Berufsausbildungsstellen <Zeitpunkt> / Neu abgeschlossene Ausbildungsverträge und noch nicht vermittelte/unversorgte Bewerber <Zeitpunkt> x 100,"Bei den ""neu abgeschlossenen Ausbildungsverträgen"" handelt es sich um diejenigen Ausbildungsverträge, die in der Zeit vom 01.10. bis 30.09. des folgenden Jahres neu abgeschlossen worden sind und am 30.09. auch noch bestanden haben. ""Unbesetzte Berufsausbildungsstellen"" sind alle Ausbildungsstellen, die bis zum Ende des Berichtsjahres weder besetzt noch zurückgenommen worden sind. Als ""noch nicht vermittelte/unversorgte Bewerber"" zählen Bewerber, für die bis zum Ende des Berichtsjahres weder die Einmündung in eine Berufsausbildung, noch ein weiterer Schulbesuch, eine Teilnahme an einer Fördermaßnahme oder eine andere Alternative zum 30.09. bekannt ist und für die Vermittlungsbemühungen laufen.",Berufsbildungsstatistik des Bundesinstituts für Berufsbildung,,x,,1995-2019
5105,16426,Auszubildende,Auszubildende je 1.000 SV Beschäftige,Auszubildende SV Beschäftigte <Zeitpunkt> / SV Beschäftigte <Zeitpunkt> x 1.000,"In der Beschäftigungsstatistik sind Auszubildende eine Teilmenge der sozialversicherungspflichtig Beschäftigten. Es handelt sich dabei um Personen, die von den Arbeitgebern als Beschäftigte in einem sozialversicherungspflichtigen Ausbildungsverhältnis gemeldet werden. Die Ausbildung kann eine duale Ausbildung in einem staatlich anerkannten Ausbildungsberuf sein. Dazu zählen bspw. auch Studierende in einem dualen Studiengang. Als sozialversicherungspflichtige Auszubildende werden außerdem Beschäftigte in den schulischen Berufsausbildungen gemeldet, in denen ein Ausbildungsentgelt gezahlt wird. Nicht Bestandteil der Auszubildenden in der Beschäftigungsstatistik sind Personen, deren berufliche Ausbildung ausschließlich an beruflichen Schulen ohne sozialversicherungspflichtigen Ausbildungsvertrag, also ohne Sozialversicherungspflicht erfolgt. Es handelt sich um Auszubildende am Arbeitsort.",Statistik der Bundesagentur für Arbeit,,x,,1995-2020
5106,16428,Weibliche Auszubildende,Anteil der weiblichen Auszubildende an den Auszubildenden in %,Weibliche Auszubildende SV Beschäftigte <Zeitpunkt> / Auszubildende SV Beschäftigte <Zeitpunkt> x 100,"In der Beschäftigungsstatistik sind Auszubildende eine Teilmenge der sozialversicherungspflichtig Beschäftigten. Es handelt sich dabei um Personen, die von den Arbeitgebern als Beschäftigte in einem sozialversicherungspflichtigen Ausbildungsverhältnis gemeldet werden. Die Ausbildung kann eine duale Ausbildung in einem staatlich anerkannten Ausbildungsberuf sein. Dazu zählen bspw. auch Studierende in einem dualen Studiengang. Als sozialversicherungspflichtige Auszubildende werden außerdem Beschäftigte in den schulischen Berufsausbildungen gemeldet, in denen ein Ausbildungsentgelt gezahlt wird. Nicht Bestandteil der Auszubildenden in der Beschäftigungsstatistik sind Personen, deren berufliche Ausbildung ausschließlich an beruflichen Schulen ohne sozialversicherungspflichtigen Ausbildungsvertrag, also ohne Sozialversicherungspflicht erfolgt. Es handelt sich um Auszubildende am Arbeitsort.",Statistik der Bundesagentur für Arbeit,,x,,1995-2020
5107,16429,Männliche Auszubildende,Anteil der männlichen Auszubildende an den Auszubildenden in %,Männliche Auszubildende SV Beschäftigte <Zeitpunkt> / Auszubildende SV Beschäftigte <Zeitpunkt> x 100,"In der Beschäftigungsstatistik sind Auszubildende eine Teilmenge der sozialversicherungspflichtig Beschäftigten. Es handelt sich dabei um Personen, die von den Arbeitgebern als Beschäftigte in einem sozialversicherungspflichtigen Ausbildungsverhältnis gemeldet werden. Die Ausbildung kann eine duale Ausbildung in einem staatlich anerkannten Ausbildungsberuf sein. Dazu zählen bspw. auch Studierende in einem dualen Studiengang. Als sozialversicherungspflichtige Auszubildende werden außerdem Beschäftigte in den schulischen Berufsausbildungen gemeldet, in denen ein Ausbildungsentgelt gezahlt wird. Nicht Bestandteil der Auszubildenden in der Beschäftigungsstatistik sind Personen, deren berufliche Ausbildung ausschließlich an beruflichen Schulen ohne sozialversicherungspflichtigen Ausbildungsvertrag, also ohne Sozialversicherungspflicht erfolgt. Es handelt sich um Auszubildende am Arbeitsort.",Statistik der Bundesagentur für Arbeit,,x,,1995-2020
5108,16434,Auszubildende je 100 Einwohner 15 bis 25 Jahre,Auszubildende am Wohnort je 100 Einwohner von 15 bis unter 25 Jahren in %,SV Beschäftigte Auszubildende am WO <Zeitpunkt> / E 15 bis unter 25 J <Zeitpunkt> X 100,"Beteiligung an beruflicher Qualifikation in der entsprechenden Altersgruppe der 15 bis unter 25-Jährigen. In der Beschäftigungsstatistik sind Auszubildende eine Teilmenge der sozialversicherungspflichtig Beschäftigten. Es handelt sich dabei um Personen, die von den Arbeitgebern als Beschäftigte in einem sozialversicherungspflichtigen Ausbildungsverhältnis gemeldet werden. Die Ausbildung kann eine duale Ausbildung in einem staatlich anerkannten Ausbildungsberuf sein. Dazu zählen bspw. auch Studierende in einem dualen Studiengang. Als sozialversicherungspflichtige Auszubildende werden außerdem Beschäftigte in den schulischen Berufsausbildungen gemeldet, in denen ein Ausbildungsentgelt gezahlt wird. Nicht Bestandteil der Auszubildenden in der Beschäftigungsstatistik sind Personen, deren berufliche Ausbildung ausschließlich an beruflichen Schulen ohne sozialversicherungspflichtigen Ausbildungsvertrag, also ohne Sozialversicherungspflicht erfolgt. Es handelt sich um Auszubildende am Wohnort. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen.",Statistik der Bundesagentur für Arbeit,,x,,2010-2020
5109,15146,Studierende,Studierende an wissenschaftlichen Hochschulen und Fachhochschulen je 1.000 Einwohner,Studierende an wissenschaftlichen HS und FH WS <Zeitpunkt> / E <Zeitpunkt> x 1.000,"Indikator für das in der Region ausgebildete Potenzial an hochqualifizierten Arbeitskräften. Von besonderer Bedeutung sind hier auch Fachhochschulen aufgrund ihrer Praxisnähe und ihrer vielfältigen Beziehungen zu den regionalen wirtschaftlichen Akteuren. Als Hochschulen werden alle nach Landesrecht anerkannten Hochschulen, unabhängig von der Trägerschaft, ausgewiesen. Studierende  sind in einem Fachstudium immatrikulierte/eingeschriebene Personen, ohne Beurlaubte, Gasthörer und Studienkollegiaten. Die Studierendenzahlen beziehen sich jeweils auf das Wintersemester. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Hochschulstatistik des Bundes,,x,,1995-2020
5110,16430,Studierende an FH,Studierende an Fachhochschulen je 1.000 Einwohner,Studierende an Fachhochschulen WS <Zeitpunkt> / E <Zeitpunkt> x 1.000,"Indikator für das in der Region ausgebildete Potenzial an hochqualifizierten Arbeitskräften. Von besonderer Bedeutung sind hier auch Fachhochschulen (ohne Verwaltungsfachhochschulen) aufgrund ihrer Praxisnähe und ihrer vielfältigen Beziehungen zu den regionalen wirtschaftlichen Akteuren. Als Hochschulen werden alle nach Landesrecht anerkannten Hochschulen, unabhängig von der Trägerschaft, ausgewiesen. Studierende  sind in einem Fachstudium immatrikulierte/eingeschriebene Personen, ohne Beurlaubte, Gasthörer und Studienkollegiaten. Die Studierendenzahlen beziehen sich jeweils auf das Wintersemester. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Hochschulstatistik des Bundes,,x,,2006-2020
5111,16431,Weibliche Studierende,Anteil der Frauen an den Studierenden in %,Weibl. Studierende WS <Zeitpunkt> / Studierende WS <Zeitpunkt> x 100,"Indikator für das in der Region ausgebildete Potenzial an hochqualifizierten Arbeitskräften. Von besonderer Bedeutung sind hier auch Fachhochschulen aufgrund ihrer Praxisnähe und ihrer vielfältigen Beziehungen zu den regionalen wirtschaftlichen Akteuren. Der geschlechtsdifferenzierte Indikator deutet an, dass die Ausprägung für die Gruppe der Frauen (deutlich) von der Gesamtsituation abweichen kann. Als Hochschulen werden alle nach Landesrecht anerkannten Hochschulen,unabhängig von der Trägerschaft, ausgewiesen. Studierende  sind in einem Fachstudium immatrikulierte/eingeschriebene Personen, ohne Beurlaubte, Gasthörer und Studienkollegiaten. Die Studierendenzahlen beziehen sich jeweils auf das Wintersemester. Bei der Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei der Fortschreibung des Bevölkerungsstandes des Bundes und der Länder handelt es sich um Zahlen zum Stichtag 31.12. des Jahres.",Hochschulstatistik des Bundes,,x,,1995-2020
